establishment_name,establishment_type,establishment_address,inspection_date,establishment_status,min_inspections_per_year,severity,action
NEW KANTAMANTO MARKET,Food Depot,"266 EDDYSTONE AVE, Unit-0",2022-04-05,Pass,2,,
NEW KANTAMANTO MARKET,Food Depot,"266 EDDYSTONE AVE, Unit-0",2023-03-07,Pass,2,M - Minor,Notice to Comply
NEW KANTAMANTO MARKET,Food Depot,"266 EDDYSTONE AVE, Unit-0",2023-03-07,Pass,2,M - Minor,Notice to Comply
NEW KANTAMANTO MARKET,Food Depot,"266 EDDYSTONE AVE, Unit-0",2023-08-25,Pass,2,,
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-04-29,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-05-26,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-05-26,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-05-26,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-08-10,Pass,3,C - Crucial,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-08-10,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-08-10,Pass,3,S - Significant,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-08-10,Pass,3,S - Significant,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-08-10,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-08-18,Pass,3,,
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,S - Significant,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,M - Minor,Notice to Comply
