establishment_name,establishment_type,establishment_address,inspection_date,establishment_status,min_inspections_per_year,severity,action
NEW KANTAMANTO MARKET,Food Depot,"266 EDDYSTONE AVE, Unit-0",2023-03-07,Pass,2,M - Minor,Notice to Comply
NEW KANTAMANTO MARKET,Food Depot,"266 EDDYSTONE AVE, Unit-0",2023-03-07,Pass,2,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-04-29,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-05-26,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-05-26,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-05-26,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-08-10,Pass,3,C - Crucial,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-08-10,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-08-10,Pass,3,S - Significant,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-08-10,Pass,3,S - Significant,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2022-08-10,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,S - Significant,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,S - Significant,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,S - Significant,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,NA - Not Applicable,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,C - Crucial,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,S - Significant,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-13,Pass,3,NA - Not Applicable,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-13,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-07-24,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-07-24,Pass,3,NA - Not Applicable,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-07-24,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-07-24,Pass,3,M - Minor,Closure Order
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-10-31,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-10-31,Pass,3,S - Significant,Corrected During Inspection
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-10-31,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-10-31,Pass,3,NA - Not Applicable,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-10-31,Pass,3,S - Significant,Corrected During Inspection
1 PLUS 1 PIZZA,Food Take Out,361 OAKWOOD AVE,2022-08-19,Pass,2,M - Minor,Notice to Comply
1 PLUS 1 PIZZA,Food Take Out,361 OAKWOOD AVE,2023-06-20,Pass,2,S - Significant,Corrected During Inspection
1 PLUS 1 PIZZA,Food Take Out,361 OAKWOOD AVE,2023-06-20,Pass,2,S - Significant,Corrected During Inspection
1 PLUS 1 PIZZA,Food Take Out,361 OAKWOOD AVE,2023-06-20,Pass,2,M - Minor,Notice to Comply
1 PLUS 1 PIZZA,Food Take Out,361 OAKWOOD AVE,2023-06-20,Pass,2,M - Minor,Notice to Comply
100% Korean,Food Take Out,4779 STEELES AVE E,2022-11-30,Pass,2,NA - Not Applicable,Notice to Comply
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2022-08-22,Pass,2,S - Significant,Corrected During Inspection
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2022-08-22,Pass,2,M - Minor,Notice to Comply
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2022-08-22,Pass,2,S - Significant,Corrected During Inspection
